CONTENT_TYPE_ID,CREATED_AT,ID,PUBLISHED,PUBLISHED_AT,PUBLISH_AT,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
12,2025-05-29 23:05:46.164000000 +00:00,95874,true,2025-05-29 23:05:46.176000000 +00:00,,2025-05-29 23:05:46.180000000 +00:00,2025-09-17 22:10:46.668000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147015277269105,1758147013551
12,2025-07-11 10:50:53.976000000 +00:00,665706,true,2025-07-11 10:50:53.989000000 +00:00,,2025-07-11 10:50:53.993000000 +00:00,2025-09-17 22:11:03.926000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024959241146,1758147013551
12,2025-06-25 10:06:34.297000000 +00:00,169112,true,2025-06-25 10:06:34.308000000 +00:00,,2025-06-25 10:06:34.312000000 +00:00,2025-09-17 22:10:48.890000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147017385232714,1758147013551
12,2025-08-01 09:30:24.130000000 +00:00,884405,true,2025-08-01 09:30:24.145000000 +00:00,,2025-08-01 09:30:24.148000000 +00:00,2025-09-17 22:11:10.366000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147028280341618,1758147013551
12,2025-07-04 09:22:57.954000000 +00:00,488534,true,2025-07-04 09:22:57.966000000 +00:00,,2025-07-04 09:22:57.969000000 +00:00,2025-09-17 22:10:58.683000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147022270210143,1758147013551
12,2025-07-18 09:31:31.576000000 +00:00,720990,true,2025-07-18 09:31:31.611000000 +00:00,,2025-07-18 09:31:31.617000000 +00:00,2025-09-17 22:11:05.564000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025788553566,1758147013551
12,2025-05-29 22:14:35.538000000 +00:00,23536,true,2025-05-29 22:14:35.554000000 +00:00,,2025-05-29 22:14:35.557000000 +00:00,2025-09-17 22:10:44.524000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147014234805514,1758147013551
12,2025-06-27 10:02:23.386000000 +00:00,307578,true,2025-06-27 10:02:23.398000000 +00:00,,2025-06-27 10:02:23.402000000 +00:00,2025-09-17 22:10:53.040000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147019533603172,1758147013551
12,2025-07-25 18:31:55.412000000 +00:00,826215,true,2025-07-25 18:31:55.425000000 +00:00,,2025-07-25 18:31:55.429000000 +00:00,2025-09-17 22:11:08.653000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147027359483234,1758147013551
12,2025-06-27 10:41:52.801000000 +00:00,368900,true,2025-06-27 10:41:52.812000000 +00:00,,2025-06-27 10:41:52.815000000 +00:00,2025-09-17 22:10:54.972000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147020483905317,1758147013551
12,2025-09-05 09:44:51.341000000 +00:00,986560,true,2025-09-05 09:44:51.354000000 +00:00,,2025-09-05 09:44:51.358000000 +00:00,2025-09-17 22:11:13.367000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147029891208315,1758147013551
