CMS_ENTRY_ID,CREATED_AT,ID,READ_AT,UPDATED_AT,USER_ID,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
295440,2025-06-27 09:54:26.605000000 +00:00,909908,,2025-06-27 09:54:26.605000000 +00:00,79214,2025-11-10 18:57:06.243000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800237036549460,1762800222882
379601,2025-06-27 10:48:23.900000000 +00:00,994090,,2025-06-27 10:48:23.900000000 +00:00,138774,2025-11-10 18:57:08.855000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800238288367455,1762800222882
918838,2025-08-04 02:01:59.335000000 +00:00,1649491,,2025-08-04 02:01:59.335000000 +00:00,1503287,2025-11-10 18:57:29.907000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800247748677811,1762800222882
775261,2025-07-25 17:51:55.926000000 +00:00,1454352,,2025-07-25 17:51:55.926000000 +00:00,5573,2025-11-10 18:57:23.488000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800244988445333,1762800222882
875802,2025-08-01 09:23:00.135000000 +00:00,1558804,,2025-08-01 09:23:00.135000000 +00:00,36775,2025-11-10 18:57:26.955000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800246387920923,1762800222882
918838,2025-08-04 02:02:39.294000000 +00:00,1691399,,2025-08-04 02:02:39.294000000 +00:00,1677322,2025-11-10 18:57:31.266000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800248339091740,1762800222882
1025002,2025-09-19 09:33:37.278000000 +00:00,1854314,,2025-09-19 09:33:37.278000000 +00:00,39795,2025-11-10 18:57:36.567000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800250695560279,1762800222882
83,2025-05-29 16:10:16.472000000 +00:00,190669,,2025-05-29 16:10:16.472000000 +00:00,275938,2025-11-10 18:56:45.275000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800226862072937,1762800222882
996335,2025-10-02 21:23:36.293000000 +00:00,1935909,2025-10-02 21:23:51.887000000 +00:00,2025-10-02 21:23:51.888000000 +00:00,164090,2025-11-10 18:57:39.119000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800251889674958,1762800222882
279585,2025-06-27 09:35:37.659000000 +00:00,894053,,2025-06-27 09:35:37.659000000 +00:00,39536,2025-11-10 18:57:05.752000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800236800194090,1762800222882
916814,2025-08-01 09:55:41.475000000 +00:00,1599822,,2025-08-01 09:55:41.475000000 +00:00,1600397,2025-11-10 18:57:28.273000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800246972921604,1762800222882
136659,2025-06-03 19:18:20.461000000 +00:00,402600,,2025-06-03 19:18:20.461000000 +00:00,1698101,2025-11-10 18:56:51.597000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800230047878163,1762800222882
996358,2025-10-09 13:42:23.315000000 +00:00,1943538,2025-10-09 13:42:33.100000000 +00:00,2025-10-09 13:42:33.101000000 +00:00,1432723,2025-11-10 18:57:39.389000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800251984057113,1762800222882
